target_x,target_y,l_rel_x,l_rel_y,r_rel_x,r_rel_y,pitch,yaw,roll,eye_aspect_ratio
0.05,0.05,-0.424069711253383,-0.07687327752987384,0.6074190271831506,-0.0997252969367263,5.743178761364675,15.96568436861423,1.9995713014970837,0.3701541634418796
0.05,0.05,-0.4443408084819558,-0.07072258757947279,0.5615957634069518,-0.1153775930968102,5.990834813663895,16.119895169927265,2.261629738268795,0.37847877826890475
0.05,0.05,-0.44697267208301056,-0.06871160670858029,0.5631639238914811,-0.1137120132621795,5.0409833294677355,16.354865985949402,2.172058073825763,0.3782314717274545
0.05,0.05,-0.4433840154816192,-0.08285345503324602,0.5649119972647672,-0.10474335588272314,5.485453768228979,16.244528268958195,1.9253060963496749,0.3749001316863532
0.05,0.05,-0.44153036369135723,-0.08379299606438022,0.5584138799097641,-0.10595080887101083,5.51902217547439,15.787384676578473,1.4797736657765541,0.369370250051273
0.05,0.05,-0.42232693341237265,-0.07430065403823526,0.5584382234206064,-0.09261341535719277,5.85845461192784,15.758208941540802,1.9347704741482654,0.3655272945269429
0.05,0.05,-0.41947749690908864,-0.07007934984092348,0.5713824179561299,-0.09212766158438664,5.8801967838561495,15.887621687398836,1.771928680516168,0.3717413189189649
0.05,0.05,-0.42946660829736505,-0.07513766230947067,0.5848102955428406,-0.10478418256897895,5.514917183722844,15.897276958096796,1.9241508185250669,0.37568650663127356
0.05,0.05,-0.42772878900104344,-0.07616523304660933,0.5738203401480949,-0.10407331136352356,5.158420374315284,16.019179782824366,2.149234478819045,0.376748069036939
0.05,0.05,-0.43596712668847065,-0.061843614669558365,0.5710080222972674,-0.11308084234121307,6.232135128510237,16.111546444413882,1.965913536247963,0.36812963814928207
0.05,0.05,-0.4384844147748839,-0.060702893478616675,0.5762877839138039,-0.11587572616282599,6.110505066596801,16.243741160127644,2.004348506135308,0.3721850858027179
0.05,0.05,-0.4340957253517833,-0.07189160649202529,0.5712937775223883,-0.10318978995469981,5.751487097795035,16.351700646852436,2.0974699239464014,0.3735021109742624
0.05,0.05,-0.43366860848597083,-0.07248440854352828,0.5868558231482734,-0.0985258910987838,5.966795116185381,16.468191886546183,2.181909526269359,0.37431938175760215
0.05,0.05,-0.4318799301257809,-0.0890276324090924,0.5720457667453014,-0.09617071609028863,5.826683173544467,16.751837804510398,2.619884438338309,0.3805908143778664
0.05,0.05,-0.4314170388592992,-0.08272413774097598,0.575669449908653,-0.08846971530565044,6.137179578042861,17.02460019198749,2.4418209855789756,0.37084313286898646
0.05,0.05,-0.44768888550259517,-0.07967969790956242,0.5739875189276594,-0.08384560549951414,5.629709017936904,17.45296862574204,2.595711587735374,0.3878394566467571
0.05,0.05,-0.44723145338069875,-0.07687480824039539,0.586354804379108,-0.09489256234503499,4.6408469056695765,17.751207631665476,2.1388204286468486,0.37231467597335505
0.05,0.05,-0.4468238954664641,-0.07286972383922637,0.5481716037535054,-0.10933456682710799,6.127291069628058,18.01945893865435,2.698174222562252,0.366682068144238
0.05,0.05,-0.4542291662841721,-0.07624479042355922,0.5599330409770359,-0.1084349507238176,5.639403707545739,18.121984329422816,2.5704244143059243,0.37037746012013784
0.05,0.05,-0.43397010418897,-0.07920593561404718,0.5604925063528428,-0.09651886621594624,5.32684080974434,18.380470994080717,2.639400908571599,0.3659462613836315
0.05,0.05,-0.43133883393353695,-0.07372019875096868,0.5531703406813627,-0.10467523281857834,5.290547931941518,18.639474353375658,2.7867536610162875,0.36514485753311376
0.05,0.05,-0.4277697526969394,-0.08353144937781017,0.5799535366200339,-0.11860963795086704,5.410953014520288,18.950201558823764,2.9991000149745632,0.3736005381979971
0.05,0.05,-0.4318754894002198,-0.08163734455930632,0.5724340247552133,-0.11200837256211106,5.451363957865766,19.34818060385295,3.014859023234074,0.3741087868390245
0.05,0.05,-0.42543950618597093,-0.08280062542213334,0.5998599980917418,-0.11020190693557362,4.570590873165884,19.755226073638298,2.967748258826028,0.38155423410457123
0.05,0.05,-0.42314885192583035,-0.08093215845014406,0.5938669779692367,-0.12280017160273779,4.836524103519054,20.104801532109494,2.868998907244622,0.3800727353747827
0.05,0.05,-0.42445253365690183,-0.07128443386893725,0.5997070080058031,-0.07315732404423404,5.463051591931787,20.38677615288951,2.968931394968546,0.35899474350401617
0.05,0.05,-0.4339309884160383,-0.06604000773435989,0.5856406699699617,-0.09140492293211415,5.047590422852608,20.76713929138419,2.762403821881551,0.37837831109388376
